"","Dip","Gain","MatrixGo1","MatrixGo2","MatrixGo3","MatrixGo4","MatrixGo5","MatrixGo6","MatrixNoGo1","MatrixNoGo2","MatrixNoGo3","MatrixNoGo4","MatrixNoGo5","MatrixNoGo6"
"248","1.3","0.8",0.156279,0.121138,0.057823,0.0036774,9.94737e-05,9.82506e-05,0.000145252,0.06812,0.127514,0.151277,0.157244,0.159652
"249","1.3","0.9",0.156282,0.126527,0.0669733,0.0088883,0.00010023,9.82506e-05,0.000139255,0.060187,0.120971,0.149565,0.156884,0.159652
"250","1.3","1.0",0.156282,0.130735,0.0753369,0.0152286,0.000101086,9.82506e-05,0.000134694,0.0534705,0.114646,0.147654,0.156504,0.159652
"251","1.3","1.1",0.156277,0.134074,0.0830259,0.0217322,0.000102066,9.82506e-05,0.000131122,0.0477379,0.108418,0.145531,0.156104,0.159652
"252","1.3","1.2",0.156278,0.136758,0.0895199,0.0280365,0.000103264,9.82504e-05,0.000128219,0.0428048,0.102413,0.143199,0.155682,0.159652
"253","1.3","1.3",0.156279,0.138919,0.0953088,0.034022,0.000104907,9.82504e-05,0.000125757,0.0385012,0.0967653,0.140638,0.155238,0.159652
"254","1.3","1.4",0.15628,0.140634,0.100493,0.0397071,0.000107967,9.82504e-05,0.0001239,0.0347151,0.0914812,0.137817,0.154768,0.159652
"255","1.3","1.5",0.156281,0.142035,0.105138,0.0451115,0.00011464,9.82504e-05,0.000122212,0.0313588,0.0865525,0.13479,0.154272,0.159652
"256","1.3","1.6",0.156281,0.143204,0.109299,0.0502575,0.000134186,9.82504e-05,0.000120886,0.0283632,0.0819342,0.131639,0.153748,0.159652
"257","1.3","1.7",0.156282,0.144194,0.113026,0.0551651,0.000196635,9.82498e-05,0.000119612,0.0256733,0.0775426,0.128406,0.153194,0.159652
"258","1.3","1.8",0.156282,0.14504,0.116364,0.0598528,0.000327371,9.82498e-05,0.000118603,0.0232443,0.0734263,0.12513,0.152607,0.159652
"259","1.3","1.9",0.156283,0.14577,0.119353,0.0643372,0.000611813,9.82498e-05,0.000117722,0.0210402,0.0696301,0.121843,0.151986,0.159652
"260","1.3","2.0",0.156283,0.146406,0.122032,0.0685885,0.00109029,9.82498e-05,0.000116882,0.0190307,0.0661188,0.118608,0.151328,0.159652
"261","1.4","0.1",0.15515,0.0020118,0.000111268,0.000104035,9.5336e-05,9.75784e-05,0.0192029,0.154917,0.156194,0.159127,0.159345,0.159654
"262","1.4","0.2",0.156154,0.0232799,0.000141904,0.000105735,9.56532e-05,9.75786e-05,0.00655836,0.147606,0.154387,0.158418,0.15911,0.159654
"263","1.4","0.3",0.156244,0.0505551,0.000801095,0.000107857,9.59937e-05,9.75775e-05,0.00193399,0.136148,0.152153,0.157634,0.158864,0.159654
"264","1.4","0.4",0.156267,0.0714701,0.0063259,0.000110513,9.63411e-05,9.75763e-05,0.000373371,0.121525,0.149384,0.156764,0.158608,0.159654
"265","1.4","0.5",0.156266,0.0880166,0.0181875,0.000114182,9.6718e-05,9.75763e-05,0.000189128,0.107281,0.145968,0.155795,0.158338,0.159653
"266","1.4","0.6",0.156272,0.100178,0.0306874,0.000122574,9.71361e-05,9.75763e-05,0.000166144,0.0943428,0.141836,0.154719,0.158057,0.159653
"267","1.4","0.7",0.156276,0.109652,0.0418916,0.000263167,9.75937e-05,9.75763e-05,0.000153825,0.0831845,0.136934,0.153519,0.157763,0.159653
"268","1.4","0.8",0.156279,0.117087,0.0519185,0.00139534,9.81023e-05,9.75763e-05,0.000145252,0.0734015,0.131237,0.152182,0.157455,0.159653
"269","1.4","0.9",0.156282,0.122959,0.0609652,0.00505038,9.86747e-05,9.75763e-05,0.000139255,0.0651402,0.125208,0.150693,0.157132,0.159653
"270","1.4","1.0",0.156283,0.127626,0.0691816,0.0104453,9.93227e-05,9.75763e-05,0.000134704,0.0581526,0.11909,0.149038,0.156794,0.159653
"271","1.4","1.1",0.156281,0.131334,0.0768499,0.0163998,0.00010007,9.75763e-05,0.000131129,0.0521361,0.113297,0.147201,0.156436,0.159652
"272","1.4","1.2",0.156278,0.134354,0.0838138,0.0224621,0.000100918,9.75763e-05,0.000128219,0.0469458,0.107444,0.14518,0.156062,0.159652
"273","1.4","1.3",0.156279,0.136816,0.0897874,0.0282801,0.000101899,9.75763e-05,0.000125757,0.0424253,0.101868,0.14297,0.155668,0.159652
"274","1.4","1.4",0.15628,0.138829,0.0951682,0.0338245,0.000103136,9.75763e-05,0.0001239,0.0384415,0.0966035,0.140555,0.155254,0.159652
"275","1.4","1.5",0.156281,0.140453,0.100029,0.0391107,0.000104988,9.75763e-05,0.000122212,0.0349057,0.0916577,0.137909,0.154819,0.159652
"276","1.4","1.6",0.156281,0.141796,0.10442,0.0441549,0.000108975,9.75763e-05,0.000120886,0.0317469,0.087023,0.135079,0.15436,0.159652
